backbone_id	n_training_records	complete_fraction	duplicate_fraction	change_flag_fraction	duplicate_completeness_score
AA147	3	0.3333333333333333	0.0	1.0	0.4666666666666667
AA200	3	0.3333333333333333	0.0	1.0	0.4666666666666667
AA266	3	0.3333333333333333	0.0	1.0	0.4666666666666667
AA448	3	0.3333333333333333	0.0	1.0	0.4666666666666667
AA601	3	0.3333333333333333	0.0	1.0	0.4666666666666667
AA979	3	0.3333333333333333	0.0	1.0	0.4666666666666667
AC105	3	0.3333333333333333	0.0	1.0	0.4666666666666667
AC113	3	0.3333333333333333	0.0	1.0	0.4666666666666667
AC125	3	0.3333333333333333	0.0	1.0	0.4666666666666667
AE960	3	0.3333333333333333	0.0	1.0	0.4666666666666667
AA598	39	0.2564102564102564	0.0	1.0	0.4282051282051282
AA304	4	0.25	0.0	1.0	0.425
AA346	4	0.25	0.0	1.0	0.425
AA519	4	0.25	0.0	1.0	0.425
AA694	4	0.25	0.0	1.0	0.425
AC100	4	0.25	0.0	1.0	0.425
AC301	4	0.25	0.0	1.0	0.425
AF844	4	0.25	0.0	1.0	0.425
AB460	17	0.23529411764705882	0.0	1.0	0.41764705882352937
AF086	9	0.2222222222222222	0.0	1.0	0.4111111111111111
AA941	20	0.2	0.0	1.0	0.4
AB434	15	0.2	0.0	1.0	0.4
AA150	5	0.2	0.0	1.0	0.4
AA977	5	0.2	0.0	1.0	0.4
AB330	5	0.2	0.0	1.0	0.4
AB781	5	0.2	0.0	1.0	0.4
AC570	5	0.2	0.0	1.0	0.4
AC645	5	0.2	0.0	1.0	0.4
AC163	17	0.17647058823529413	0.0	1.0	0.38823529411764707
AA018	18	0.16666666666666666	0.0	1.0	0.3833333333333333
AB621	12	0.16666666666666666	0.0	1.0	0.3833333333333333
AB779	6	0.16666666666666666	0.0	1.0	0.3833333333333333
AC748	6	0.16666666666666666	0.0	1.0	0.3833333333333333
AE015	6	0.16666666666666666	0.0	1.0	0.3833333333333333
AA038	14	0.14285714285714285	0.0	1.0	0.37142857142857144
AB685	14	0.14285714285714285	0.0	1.0	0.37142857142857144
AA253	7	0.14285714285714285	0.0	1.0	0.37142857142857144
AA357	7	0.14285714285714285	0.0	1.0	0.37142857142857144
AB720	7	0.14285714285714285	0.0	1.0	0.37142857142857144
AB999	7	0.14285714285714285	0.0	1.0	0.37142857142857144
AC517	8	0.125	0.0	1.0	0.3625
AC333	18	0.1111111111111111	0.0	1.0	0.3555555555555555
AA079	9	0.1111111111111111	0.0	1.0	0.3555555555555555
AB080	9	0.1111111111111111	0.0	1.0	0.3555555555555555
AB082	9	0.1111111111111111	0.0	1.0	0.3555555555555555
AA063	10	0.1	0.0	1.0	0.35
AA345	10	0.1	0.0	1.0	0.35
AB979	10	0.1	0.0	1.0	0.35
AC677	10	0.1	0.0	1.0	0.35
AA902	22	0.09090909090909091	0.0	1.0	0.34545454545454546
AA083	11	0.09090909090909091	0.0	1.0	0.34545454545454546
AB233	11	0.09090909090909091	0.0	1.0	0.34545454545454546
AA275	12	0.08333333333333333	0.0	1.0	0.3416666666666667
AB272	13	0.07692307692307693	0.0	1.0	0.3384615384615385
AC320	13	0.07692307692307693	0.0	1.0	0.3384615384615385
AA849	15	0.06666666666666667	0.0	1.0	0.3333333333333333
AC627	15	0.06666666666666667	0.0	1.0	0.3333333333333333
AA552	33	0.06060606060606061	0.0	1.0	0.3303030303030303
AA840	19	0.05263157894736842	0.0	1.0	0.3263157894736842
AA860	45	0.044444444444444446	0.0	1.0	0.3222222222222222
AA474	52	0.038461538461538464	0.0	1.0	0.3192307692307692
AA379	232	0.0	0.0	1.0	0.3
AA996	45	0.0	0.0	1.0	0.3
AA751	32	0.0	0.0	1.0	0.3
AA800	30	0.0	0.0	1.0	0.3
AA002	28	0.0	0.0	1.0	0.3
AA919	28	0.0	0.0	1.0	0.3
AA955	24	0.0	0.0	1.0	0.3
AB461	17	0.0	0.0	1.0	0.3
AB595	17	0.0	0.0	1.0	0.3
AA551	15	0.0	0.0	1.0	0.3
AC408	14	0.0	0.0	1.0	0.3
AA336	12	0.0	0.0	1.0	0.3
AA411	12	0.0	0.0	1.0	0.3
AA739	12	0.0	0.0	1.0	0.3
AD034	12	0.0	0.0	1.0	0.3
AA176	11	0.0	0.0	1.0	0.3
AA254	11	0.0	0.0	1.0	0.3
AA261	11	0.0	0.0	1.0	0.3
AA627	11	0.0	0.0	1.0	0.3
AA848	11	0.0	0.0	1.0	0.3
AA372	10	0.0	0.0	1.0	0.3
AA921	10	0.0	0.0	1.0	0.3
AB654	10	0.0	0.0	1.0	0.3
AA619	9	0.0	0.0	1.0	0.3
